 haloID    z                BH_ID                    gas_ID           m_BH        m_gas     Z/Zsolar     iron_gas    Mg_gas      alpha_gas
 m0175  2.478249      576460760893614956     1152921521787154318  6.81767e+08  6.97431e+06  1.937154  1.35807e+04  3.71500e+03  1.28940e+05
 m0175  2.480452      576460760893614956                  362056  6.79571e+08  6.47278e+06  1.750923  1.09869e+04  3.08472e+03  1.09303e+05
 m0175  2.480670      576460760893614956                  287823  6.62749e+08  7.89431e+06  1.739692  1.33589e+04  3.73458e+03  1.32354e+05
 m0175  2.485900      576460760893614956                  279641  6.62749e+08  7.71583e+06  1.430615  1.05665e+04  2.95250e+03  1.07003e+05
 m0175  2.487030      576460760893614956                  480320  6.62749e+08  7.19250e+06  1.043000  7.70417e+03  1.96597e+03  7.11639e+04
 m0175  2.491133      576460760893614956                  256061  6.62749e+08  6.65000e+06  1.685692  1.07725e+04  3.04069e+03  1.08390e+05
 m0175  2.492547      576460760893614956                  474754  6.62749e+08  6.93847e+06  1.271692  8.43986e+03  2.32861e+03  8.57264e+04
 m0175  2.495978      576460760893614956                  361087  6.62749e+08  8.19486e+06  1.709077  1.35019e+04  3.80333e+03  1.35292e+05
 m0175  2.497800      576460760893614956                  217232  6.62749e+08  6.75611e+06  1.355231  8.65486e+03  2.43014e+03  8.92000e+04
 m0175  2.497996      576460760893614956                  353422  6.62749e+08  7.07236e+06  1.381923  9.35111e+03  2.60889e+03  9.47194e+04
 m0175  2.499612      576460760893614956                  257395  6.62749e+08  6.17083e+06  1.161308  6.88069e+03  1.87722e+03  6.95639e+04
 m0175  2.500420      576460760893614956                  361749  6.62749e+08  7.53431e+06  0.945231  6.97931e+03  1.83236e+03  6.86319e+04
 m0175  2.506889      576460760893614956                  287449  6.62749e+08  7.98639e+06  1.789000  1.39653e+04  3.89847e+03  1.37446e+05
 m0175  2.507701      576460760893614956                  437645  6.62749e+08  6.45778e+06  1.189769  7.39431e+03  2.01806e+03  7.45208e+04
 m0175  2.507701      576460760893614956                  202900  6.62749e+08  7.38528e+06  1.730000  1.24497e+04  3.47556e+03  1.23089e+05
 m0175  2.510422      576460760893614956                  469732  6.62749e+08  6.84125e+06  1.264538  8.30000e+03  2.28861e+03  8.38597e+04
 m0175  2.510743      576460760893614956                  359436  6.62749e+08  7.65847e+06  1.745308  1.29061e+04  3.63889e+03  1.29018e+05
 m0175  2.511150      576460760893614956                  437640  6.62749e+08  7.62458e+06  1.656231  1.19903e+04  3.41111e+03  1.22619e+05
 m0175  2.511359      576460760893614956                  439192  6.62749e+08  6.25389e+06  1.026769  6.18917e+03  1.67819e+03  6.21514e+04
 m0175  2.513592      576460760893614956                  361406  6.62749e+08  9.00903e+06  1.652692  1.42639e+04  4.03125e+03  1.44097e+05
 m0175  2.514395      576460760893614956                  497616  6.62749e+08  8.89764e+06  1.946846  1.74472e+04  4.76472e+03  1.65139e+05
 m0175  2.515890      576460760893614956                  438764  6.62749e+08  7.22000e+06  1.721769  1.20401e+04  3.37722e+03  1.19964e+05
 m0175  2.516014      576460760893614956     1152921513196977933  6.62749e+08  6.80083e+06  0.989077  6.53944e+03  1.74333e+03  6.49653e+04
 m0175  2.516014      576460760893614956                  216966  6.62749e+08  9.36903e+06  1.871154  1.72875e+04  4.80222e+03  1.68194e+05
 m0175  2.516632      576460760893614956                  469882  6.62749e+08  7.59306e+06  1.851154  1.38140e+04  3.84639e+03  1.34981e+05
 m0175  2.517040      576460760893614956                  555618  6.62749e+08  6.23083e+06  1.075385  6.47750e+03  1.75028e+03  6.48250e+04
 m0175  2.522727      576460760893614956                  330897  4.48122e+08  7.20097e+06  1.294769  8.83514e+03  2.45764e+03  9.08750e+04
 m0175  2.522925      576460760893614956                  538236  4.48122e+08  6.47181e+06  1.256308  7.83417e+03  2.14681e+03  7.87444e+04
 m0175  2.522925      576460760893614956     1152921513197337820  4.48122e+08  7.88097e+06  1.790077  1.37322e+04  3.84444e+03  1.35812e+05
 m0175  2.523335      576460760893614956                  407482  4.17169e+08  6.59222e+06  1.840538  1.19443e+04  3.31792e+03  1.16469e+05
 m0175  2.524763      576460760893614956                  359801  4.06654e+08  1.03397e+07  1.699231  1.70014e+04  4.76639e+03  1.69542e+05
 m0175  2.524900      576460760893614956                  430572  4.06439e+08  8.83306e+06  1.617846  1.37354e+04  3.86806e+03  1.38201e+05
 m0175  2.525981      576460760893614956                  506435  3.83035e+08  6.65014e+06  0.910538  5.93389e+03  1.56736e+03  5.83292e+04
 m0175  2.526193      576460760893614956                  209829  3.82951e+08  8.18417e+06  1.471692  1.15353e+04  3.22806e+03  1.16708e+05
 m0175  2.526640      576460760893614956                  218450  3.61624e+08  8.20292e+06  1.835846  1.48306e+04  4.11444e+03  1.44542e+05
 m0175  2.527412      576460760893614956      576460760893795533  3.55251e+08  6.49167e+06  1.964615  1.29803e+04  3.51292e+03  1.21256e+05
